"Summary Sequence","Count","Status Sequence","Key Sequence","To Do Sequence","In Progress Sequence","Done Sequence"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-183","42\\\8\\\3\\\0","29\\\2\\\0\\\0","70\\\6\\\5\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-246\\\EPIC-18\\\STORY-233","42\\\13\\\0\\\0","29\\\12\\\0\\\0","70\\\30\\\3\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-192\\\STORY-246","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\4\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Decomission this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-137\\\FEATURE-206\\\EPIC-194\\\STORY-198","1\\\0\\\0\\\0","3\\\3\\\0\\\0","34\\\12\\\1\\\1"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Integrate new research into this thing\\\Repair functionality for this thing",1,"In Progress\\\To Do\\\Done\\\Done","THEME-137\\\FEATURE-201\\\EPIC-2\\\STORY-195","1\\\1\\\0\\\0","3\\\0\\\0\\\0","34\\\9\\\8\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Decomission this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-20\\\STORY-56","1\\\0\\\0\\\0","3\\\3\\\2\\\0","34\\\12\\\5\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-241","1\\\0\\\0\\\0","3\\\3\\\1\\\0","34\\\12\\\6\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-339","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-324","42\\\13\\\2\\\0","29\\\12\\\1\\\0","70\\\30\\\7\\\1"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-163\\\EPIC-26\\\STORY-275","42\\\8\\\2\\\0","29\\\2\\\1\\\0","70\\\6\\\1\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-285","42\\\13\\\1\\\0","29\\\12\\\4\\\0","70\\\30\\\4\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-302","42\\\8\\\1\\\0","29\\\2\\\1\\\0","70\\\20\\\6\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-297","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Build onboarding functionality for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-246\\\EPIC-32\\\STORY-232","42\\\13\\\0\\\0","29\\\12\\\0\\\0","70\\\30\\\1\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Fix unintended functionality of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-34\\\STORY-359","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\2\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Build onboarding functionality for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-36\\\STORY-366","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Increase customer retention\\\3rd Feature v5.9\\\Integrate new research into this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-232\\\EPIC-40\\\STORY-374","42\\\8\\\0\\\0","29\\\2\\\0\\\0","70\\\20\\\3\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-392","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-444","18\\\18\\\8\\\0","5\\\5\\\2\\\0","28\\\27\\\6\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-11\\\STORY-105","42\\\13\\\3\\\0","29\\\12\\\3\\\1","70\\\30\\\8\\\0"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-57","1\\\0\\\0\\\0","3\\\3\\\1\\\1","34\\\12\\\6\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-51","42\\\3\\\3\\\0","29\\\6\\\6\\\1","70\\\10\\\10\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-246\\\EPIC-457\\\STORY-328","42\\\13\\\3\\\0","29\\\12\\\2\\\1","70\\\30\\\1\\\0"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\To Do\\\To Do\\\To Do","THEME-137\\\FEATURE-201\\\EPIC-1\\\STORY-169","1\\\1\\\1\\\1","3\\\0\\\0\\\0","34\\\9\\\1\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Integrate new research into this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-15\\\STORY-459","9\\\8\\\2\\\1","4\\\4\\\2\\\0","8\\\8\\\2\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Decomission this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-23\\\STORY-458","18\\\18\\\3\\\1","5\\\5\\\0\\\0","28\\\27\\\3\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-28\\\STORY-115","42\\\13\\\1\\\1","29\\\12\\\4\\\0","70\\\30\\\4\\\0"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-358","42\\\3\\\3\\\1","29\\\6\\\6\\\0","70\\\10\\\10\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Create skeleton workflow for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-343\\\STORY-438","9\\\8\\\3\\\1","4\\\4\\\2\\\0","8\\\8\\\1\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-38\\\STORY-367","42\\\8\\\4\\\1","29\\\2\\\0\\\0","70\\\20\\\0\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-434","42\\\10\\\3\\\1","29\\\7\\\3\\\0","70\\\4\\\2\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-415","18\\\18\\\5\\\1","5\\\5\\\2\\\0","28\\\27\\\9\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-495","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Redesign layout of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-447\\\STORY-449","42\\\10\\\3\\\1","29\\\7\\\1\\\0","70\\\4\\\1\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Fix unintended functionality of this thing\\\Repair functionality for this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-8\\\STORY-335","9\\\8\\\3\\\1","4\\\4\\\0\\\0","8\\\8\\\4\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Integrate new research into this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-150\\\FEATURE-198\\\EPIC-15\\\STORY-189","9\\\8\\\2\\\0","4\\\4\\\2\\\0","8\\\8\\\2\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-19\\\STORY-128","42\\\13\\\1\\\0","29\\\12\\\2\\\0","70\\\30\\\3\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-255","1\\\0\\\0\\\0","3\\\3\\\1\\\0","34\\\12\\\6\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-253","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-290","42\\\13\\\2\\\0","29\\\12\\\1\\\0","70\\\30\\\7\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-125","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-435","42\\\10\\\3\\\0","29\\\7\\\3\\\0","70\\\4\\\2\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-466","18\\\18\\\8\\\0","5\\\5\\\2\\\0","28\\\27\\\6\\\1"
"Increase customer retention\\\5th Feature v4.3\\\Redesign layout of this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-260\\\EPIC-447\\\STORY-451","42\\\10\\\3\\\0","29\\\7\\\1\\\0","70\\\4\\\1\\\1"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Fix unintended functionality of this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-150\\\FEATURE-198\\\EPIC-8\\\STORY-124","9\\\8\\\3\\\0","4\\\4\\\0\\\0","8\\\8\\\4\\\1"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Integrate new research into this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-150\\\FEATURE-198\\\EPIC-15\\\STORY-188","9\\\8\\\2\\\0","4\\\4\\\2\\\1","8\\\8\\\2\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Create skeleton workflow for this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-150\\\FEATURE-198\\\EPIC-343\\\STORY-383","9\\\8\\\3\\\0","4\\\4\\\2\\\1","8\\\8\\\1\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-431","42\\\10\\\3\\\0","29\\\7\\\3\\\1","70\\\4\\\2\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-163\\\EPIC-26\\\STORY-274","42\\\8\\\2\\\1","29\\\2\\\1\\\0","70\\\6\\\1\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Redesign layout of this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-30\\\STORY-378","42\\\8\\\3\\\1","29\\\2\\\0\\\0","70\\\20\\\1\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\To Do\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-38\\\STORY-370","42\\\8\\\4\\\1","29\\\2\\\0\\\0","70\\\20\\\0\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-416","18\\\18\\\5\\\1","5\\\5\\\2\\\0","28\\\27\\\9\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-423","42\\\10\\\3\\\1","29\\\7\\\3\\\0","70\\\4\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-494","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
"Increase customer retention\\\4th Feature v5.1\\\Integrate new research into this thing\\\Research opportunities to improve this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-246\\\EPIC-457\\\STORY-333","42\\\13\\\3\\\1","29\\\12\\\2\\\0","70\\\30\\\1\\\0"
"Increase customer retention\\\1st Feature v7.5\\\Redesign layout of this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-136\\\FEATURE-163\\\EPIC-12\\\STORY-137","42\\\8\\\3\\\0","29\\\2\\\0\\\0","70\\\6\\\5\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-19\\\STORY-260","42\\\13\\\1\\\0","29\\\12\\\2\\\0","70\\\30\\\3\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Conduct user research on this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-191\\\STORY-217","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\4\\\1"
"Allow customers to achieve their goal of thing\\\12th Feature v0.9\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\Done\\\Done\\\Done","THEME-137\\\FEATURE-204\\\EPIC-193\\\STORY-223","1\\\0\\\0\\\0","3\\\0\\\0\\\0","34\\\13\\\5\\\1"
"Allow customers to achieve their goal of thing\\\6th Feature v4.3\\\Integrate new research into this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\To Do\\\Done\\\Done","THEME-137\\\FEATURE-201\\\EPIC-2\\\STORY-190","1\\\1\\\0\\\0","3\\\0\\\0\\\0","34\\\9\\\8\\\1"
"Allow customers to achieve their goal of thing\\\7th Feature v3.8\\\Conduct user research on this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-137\\\FEATURE-206\\\EPIC-21\\\STORY-103","1\\\0\\\0\\\0","3\\\3\\\1\\\0","34\\\12\\\6\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Build onboarding functionality for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\To Do\\\Done","THEME-138\\\FEATURE-174\\\EPIC-22\\\STORY-338","18\\\18\\\1\\\0","5\\\5\\\0\\\0","28\\\27\\\8\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-246\\\EPIC-24\\\STORY-224","42\\\13\\\2\\\0","29\\\12\\\1\\\0","70\\\30\\\7\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-175","42\\\3\\\3\\\0","29\\\6\\\6\\\0","70\\\10\\\10\\\1"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-150\\\FEATURE-198\\\EPIC-343\\\STORY-185","9\\\8\\\3\\\0","4\\\4\\\2\\\0","8\\\8\\\1\\\1"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Integrate new research into this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\Done","THEME-138\\\FEATURE-174\\\EPIC-42\\\STORY-395","18\\\18\\\5\\\0","5\\\5\\\2\\\0","28\\\27\\\9\\\1"
"Increase customer retention\\\4th Feature v5.1\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\Done\\\Done","THEME-136\\\FEATURE-246\\\EPIC-453\\\STORY-430","42\\\13\\\0\\\0","29\\\12\\\0\\\0","70\\\30\\\2\\\1"
"Increase customer retention\\\2nd Feature v6.3\\\Conduct user research on this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-177\\\EPIC-3\\\STORY-49","42\\\3\\\3\\\0","29\\\6\\\6\\\1","70\\\10\\\10\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Conduct user research on this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-41\\\STORY-417","42\\\10\\\3\\\0","29\\\7\\\3\\\1","70\\\4\\\2\\\0"
"Increase customer retention\\\5th Feature v4.3\\\Decomission this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\In Progress","THEME-136\\\FEATURE-260\\\EPIC-420\\\STORY-421","42\\\10\\\3\\\0","29\\\7\\\3\\\1","70\\\4\\\1\\\0"
"Increase customer retention\\\3rd Feature v5.9\\\Decomission this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-136\\\FEATURE-232\\\EPIC-29\\\STORY-346","42\\\8\\\1\\\1","29\\\2\\\1\\\0","70\\\20\\\6\\\0"
"Increase the Value yield of thing\\\10th Feature v1.0\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-150\\\FEATURE-198\\\EPIC-343\\\STORY-437","9\\\8\\\3\\\1","4\\\4\\\2\\\0","8\\\8\\\1\\\0"
"Reduce the Cost-to-Value breakpoint for thing\\\8th Feature v1.8\\\Create skeleton workflow for this thing\\\Update Terms and Conditions for this thing",1,"In Progress\\\In Progress\\\In Progress\\\To Do","THEME-138\\\FEATURE-174\\\EPIC-43\\\STORY-476","18\\\18\\\8\\\1","5\\\5\\\2\\\0","28\\\27\\\6\\\0"
